compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99
default,2,32,poisson,500.0,8000,36.7985429763794,8000,0.0045998178720474,217.3999118697476,7.910044563293457,0.9904773235321044,14.739790916442873,13.446673393249512,14.098430156707764,14.643028020858765
default,2,16,constant,,8000,15.73060154914856,8000,0.0019663251936435,508.56287822209896,8.21747253844142,1.397264003753662,14.777193307876589,13.498973369598389,14.151051044464111,14.676383018493652
default,2,16,poisson,500.0,8000,37.06809067726135,8000,0.0046335113346576,215.8190468900367,8.03649022296071,0.9663944244384766,15.059251070022585,13.658354997634888,14.364487648010254,14.942588090896606
mps,2,16,constant,,8000,14.439107418060305,8000,0.0018048884272575,554.0508681300946,7.430843887537717,1.4199457168579102,13.449871063232422,12.25375247001648,12.844568490982056,13.349818229675291
mps,2,16,poisson,500.0,8000,35.38801598548889,8000,0.0044235019981861,226.06523076287908,7.215397289395332,0.9616036415100098,13.34331727027893,12.165072679519652,12.767361879348757,13.2471923828125
mps,2,32,constant,,8000,13.708350419998167,8000,0.0017135438024997,583.5858987328884,7.124183791160584,1.449108600616455,12.7504620552063,11.673864603042604,12.222605228424072,12.685315608978271
mps,2,32,poisson,500.0,8000,34.5800940990448,8000,0.0043225117623806,231.34697022761955,6.872890308469534,0.984222412109375,12.539206504821776,11.436171293258669,11.995614528656006,12.465181112289429
default,4,1,constant,,8000,35.12215256690979,8000,0.0043902690708637,227.7764719790316,17.81642410326004,1.404942512512207,34.15968680381775,30.87891674041748,32.522568702697754,33.84684109687805
default,4,1,poisson,500.0,8000,55.80303597450256,8000,0.0069753794968128,143.36137560069935,17.369431132733823,0.9321413040161132,33.81661915779114,30.50423550605774,32.16158652305603,33.48997449874878
default,4,2,constant,,8000,24.53336215019226,8000,0.003066670268774,326.08657350037555,12.54039803186059,1.405522108078003,23.570134162902832,21.45605778694153,22.465930461883545,23.36921739578247
default,4,2,poisson,500.0,8000,44.87965726852417,8000,0.0056099571585655,178.25448069120412,12.043422687888146,0.9389238357543944,23.084933757781982,20.952869415283203,21.963271379470825,22.88097739219665
default,4,4,constant,,8000,20.496764659881592,8000,0.0025620955824851,390.3055010266296,10.50117801272869,1.447431564331055,19.49974250793457,17.797022342681885,18.719905614852905,19.32797718048096
default,4,4,poisson,500.0,8000,41.60910964012146,8000,0.0052011387050151,192.2655896555408,10.07193760970235,0.9995298385620116,19.16007351875305,17.33906841278076,18.263877868652344,18.988034963607788
default,4,8,constant,,8000,16.775944471359253,8000,0.0020969930589199,476.8732999598328,8.621134280920028,1.3887853622436523,15.878866195678713,14.456292867660522,15.184834480285645,15.762294054031372
default,4,8,poisson,500.0,8000,37.48911428451538,8000,0.0046861392855644,213.3952789411284,8.126009651720524,0.9136793613433838,15.408429145812988,13.952567100524902,14.690943479537964,15.282772302627563
default,4,16,constant,,8000,15.882274866104126,8000,0.001985284358263,503.7061798416272,8.125280694276094,1.3864576816558838,14.998253107070925,13.715304374694824,14.353692770004272,14.911814451217651
default,4,16,poisson,500.0,8000,36.11274981498718,8000,0.0045140937268733,221.528408691822,7.595331072539091,0.9455075263977052,14.278492450714111,12.952343702316284,13.661906719207764,14.204402685165403
